,DISTANCIA,TIEMPO_ESTIMADO,DESTINO_ID
0,6664.909,08:20:00,KMIA
1,7875.05,09:45:00,KDFW
2,1139.501,01:30:00,SAEZ
3,8626.317,10:35:00,CYYZ
4,11685.858,13:30:00,LFPG
5,6603.925,08:15:00,MMMX
6,1148.555,01:35:00,SABE
7,4255.421,05:20:00,SKBO
8,11904.802,13:35:00,LIRF
9,11666.188,13:25:00,EGLL
10,4813.969,06:05:00,MPTO
11,7596.927,09:30:00,KATL
12,2616.992,03:20:00,SBGR
13,2937.374,03:40:00,SBGL
14,2219.887,02:50:00,SBFL
15,10731.612,12:40:00,LEMD
16,2464.637,03:05:00,SPJC
17,11352.982,13:10:00,YSSY
18,7513.86,09:20:00,KIAH
19,1573.022,02:05:00,SGAS
20,1798.701,02:20:00,SBFI
21,918.512,01:15:00,SCTE
22,2182.925,02:45:00,SCCI
23,2039.606,02:35:00,SCNT
24,1396.18,01:50:00,SCBA
25,638.288,01:00:00,SCQP
26,726.207,01:05:00,SCVD
27,429.59,00:45:00,SCIE
28,389.012,00:40:00,SCSE
29,682.585,01:00:00,SCAT
30,1226.761,01:40:00,SCCF
31,1107.956,01:30:00,SCFA
32,1432.562,01:55:00,SCDA
33,1675.329,02:10:00,SCAR
34,196.039,00:30:00,SAME
35,659.875,01:00:00,SACO
36,1368.066,01:50:00,SUMU
37,1028.568,01:25:00,SCPQ
38,828.499,01:10:00,SCJO
39,6971.02,08:45:00,KMCO
40,8246.979,10:10:00,KJFK
41,3604.128,04:30:00,SEGU
42,6295.353,07:55:00,MMUN
43,5789.897,07:15:00,MDPC
44,8996.744,11:00:00,KLAX
45,9663.716,11:40:00,NZAA
46,3756.507,04:45:00,SCIP
47,1896.956,02:25:00,SLLP
48,1912.455,02:25:00,SLVR
49,2264.355,02:50:00,SBCT
50,3786.707,04:45:00,SEQM
51,864.258,01:15:00,SAZS
52,933.331,01:20:00,SAAR
53,8081.925,10:00:00,KIAD
54,911.316,01:15:00,SANT
55,11307.986,13:10:00,YMML
56,300.886,00:35:00,SANU
57,662.02,01:00:00,SAZN
58,2255.334,02:50:00,SPSO
59,2395.727,03:00:00,SAWH
60,2279.858,02:55:00,EGYP
61,1453.629,01:55:00,SULS
62,1836.731,02:20:00,SLCB
