,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
0,7679,	Masai Mara Keekorok Airport,KEU,HKKE,Masai Mara,-1.586377,35.257462,Kenya,5532,2472,"{'name': 'Africa/Nairobi', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EAT', 'abbrName': 'East Africa Time', 'isDst': False}",115
1,1900,A Coruna Airport,LCG,LECO,A Coruna,43.302059,-8.37725,Spain,326,33869,"{'name': 'Europe/Madrid', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",209
2,3,Aachen Merzbruck Airport,AAH,EDKA,Aachen,50.823051,6.186111,Germany,623,11950,"{'name': 'Europe/Berlin', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",83
3,4,Aalborg Airport,AAL,EKYT,Aalborg,57.092781,9.849164,Denmark,10,78001,"{'name': 'Europe/Copenhagen', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",61
4,9,Aarhus Airport,AAR,EKAH,Aarhus,56.300011,10.619,Denmark,82,33067,"{'name': 'Europe/Copenhagen', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",61
5,7569,Aarhus Sea Airport,QEA,EKAC,Aarhus,56.151993,10.247725,Denmark,1,6905,"{'name': 'Europe/Copenhagen', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",61
6,1596,Aasiaat Airport,JEG,BGAA,Aasiaat,68.72184,-52.784698,Greenland,74,1981,"{'name': 'America/Godthab', 'offset': -7200, 'offsetHours': '-2:00', 'abbr': '-02', 'abbrName': None, 'isDst': True}",87
7,12,Abadan Airport,ABD,OIAA,Abadan,30.371111,48.228329,Iran,19,9636,"{'name': 'Asia/Tehran', 'offset': 12600, 'offsetHours': '3:30', 'abbr': '+0330', 'abbrName': None, 'isDst': False}",104
8,11,Abakan International Airport,ABA,UNAA,Abakan,53.740002,91.385002,Russia,831,8021,"{'name': 'Asia/Krasnoyarsk', 'offset': 25200, 'offsetHours': '7:00', 'abbr': '+07', 'abbrName': None, 'isDst': False}",182
9,4146,Abbotsford International Airport,YXX,CYXX,Abbotsford,49.025269,-122.360001,Canada,195,67405,"{'name': 'America/Vancouver', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",40
10,27,Aberdeen International Airport,ABZ,EGPD,Aberdeen,57.201939,-2.19777,United Kingdom,215,200906,"{'name': 'Europe/London', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'BST', 'abbrName': 'British Summer Time', 'isDst': True}",235
11,20,Aberdeen Regional Airport,ABR,KABR,Aberdeen,45.439999,-98.419998,United States,1302,30166,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
12,80,Abha Regional Airport,AHB,OEAB,Abha,18.24036,42.65662,Saudi Arabia,6858,90596,"{'name': 'Asia/Riyadh', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",194
13,16,Abidjan Port Bouet Airport,ABJ,DIAP,Abidjan,5.261386,-3.92629,Cote D'ivoire (Ivory Coast),21,75758,"{'name': 'Africa/Abidjan', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",54
14,15,Abilene Regional Airport,ABI,KABI,Abilene,32.411301,-99.681801,United States,1790,51134,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
15,7403,Abingdon Virginia Highlands Airport,VJI,KVJI,Abingdon,36.686111,-82.033333,United States,2088,8386,"{'name': 'America/New_York', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",236
16,251,Abu Dhabi Al Bateen Executive Airport,AZI,OMAD,Abu Dhabi,24.428329,54.45808,United Arab Emirates,16,18413,"{'name': 'Asia/Dubai', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",234
17,6183,Abu Dhabi Al Dhafra Air Base,DHF,OMAM,Abu Dhabi,24.248199,54.547699,United Arab Emirates,77,2642,"{'name': 'Asia/Dubai', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",234
18,220,Abu Dhabi International Airport,AUH,OMAA,Abu Dhabi,24.43297,54.651131,United Arab Emirates,88,454554,"{'name': 'Asia/Dubai', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",234
19,6156,Abu Musa Island Airport,AEU,OIBA,Abu Musa Island,25.8757,55.033001,Iran,23,1281,"{'name': 'Asia/Tehran', 'offset': 12600, 'offsetHours': '3:30', 'abbr': '+0330', 'abbrName': None, 'isDst': False}",104
20,21,Abu Simbel Airport,ABS,HEBL,Abu Simbel,22.37595,31.611719,Egypt,616,250,"{'name': 'Africa/Cairo', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'EET', 'abbrName': 'Eastern European Time', 'isDst': False}",66
21,24,Abuja Nnamdi Azikiwe International Airport,ABV,DNAA,Abuja,9.006792,7.263172,Nigeria,1123,125475,"{'name': 'Africa/Lagos', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WAT', 'abbrName': 'West Africa Time', 'isDst': False}",160
22,28,Acapulco International Airport,ACA,MMAA,Acapulco,16.757059,-99.753899,Mexico,16,28193,"{'name': 'America/Mexico_City', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",142
23,29,Accra Kotoka International Airport,ACC,DGAA,Accra,5.605186,-0.16678,Ghana,205,74214,"{'name': 'Africa/Accra', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",84
24,5594,Ada Municipal Airport,ADT,KADH,Ada,34.804298,-96.671303,United States,1016,4597,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
25,45,Adak Airport,ADK,PADK,Adak Island,51.87796,-176.645996,United States,18,684,"{'name': 'America/Adak', 'offset': -32400, 'offsetHours': '-9:00', 'abbr': 'HDT', 'abbrName': None, 'isDst': True}",236
26,88,Adampur Airport,AIP,VIAX,Adampur,31.433056,75.760559,India,776,464,"{'name': 'Asia/Kolkata', 'offset': 19800, 'offsetHours': '5:30', 'abbr': 'IST', 'abbrName': 'India Standard Time', 'isDst': False}",102
27,37,Adana Sakirpasa Airport,ADA,LTAF,Adana,36.982159,35.28038,Turkey,65,126067,"{'name': 'Europe/Istanbul', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",228
28,39,Addis Ababa Bole Airport,ADD,HAAB,Addis Ababa,8.977889,38.799309,Ethiopia,7656,262676,"{'name': 'Africa/Addis_Ababa', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EAT', 'abbrName': 'East Africa Time', 'isDst': False}",71
29,46,Adelaide Airport,ADL,YPAD,Adelaide,-34.945,138.530502,Australia,20,370907,"{'name': 'Australia/Adelaide', 'offset': 34200, 'offsetHours': '9:30', 'abbr': 'ACST', 'abbrName': 'Australian Central Standard Time', 'isDst': False}",14
30,40,Aden International Airport,ADE,OYAA,Aden,12.82954,45.02879,Yemen,7,6365,"{'name': 'Asia/Aden', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",248
31,41,Adiyaman Airport,ADF,LTCP,Adiyaman,37.731361,38.468929,Turkey,2216,2229,"{'name': 'Europe/Istanbul', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",228
32,254,Adrar Airport,AZR,DAUA,Adrar,27.83758,-0.18641,Algeria,919,1400,"{'name': 'Africa/Algiers', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",4
33,5599,Afton Municipal Airport,AFO,KAFO,Afton,42.711201,-110.942001,United States,6221,1427,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
34,64,Agadir Al Massira Airport,AGA,GMAD,Agadir,30.324989,-9.41306,Morocco,250,38220,"{'name': 'Africa/Casablanca', 'offset': 3600, 'offsetHours': '1:00', 'abbr': '+01', 'abbrName': None, 'isDst': True}",149
35,1555,Agartala Airport,IXA,VEAT,Agartala,23.886971,91.240448,India,46,35579,"{'name': 'Asia/Kolkata', 'offset': 19800, 'offsetHours': '5:30', 'abbr': 'IST', 'abbrName': 'India Standard Time', 'isDst': False}",102
