,TEMPORADA_ALTA,DIF_MIN,ATRASO_15,PERIODO_DIA
0,1,3,0,noche
1,1,9,0,noche
2,1,9,0,noche
3,1,3,0,noche
4,1,0,0,noche
5,1,34,1,noche
6,1,0,0,noche
7,1,0,0,noche
8,1,40,1,noche
9,1,69,1,noche
10,1,0,0,noche
11,1,14,0,noche
12,1,0,0,noche
13,1,0,0,noche
14,1,0,0,noche
15,1,0,0,noche
16,1,0,0,noche
17,1,0,0,noche
18,1,15,0,noche
19,1,0,0,noche
20,1,2,0,mañana
21,1,8,0,mañana
22,1,0,0,noche
23,1,52,1,noche
24,1,0,0,noche
25,1,0,0,mañana
26,1,26,1,noche
27,1,0,0,noche
28,1,0,0,noche
29,1,2,0,mañana
30,1,2,0,mañana
31,1,0,0,noche
32,1,0,0,noche
33,1,5,0,mañana
34,1,0,0,noche
35,1,1,0,mañana
36,1,0,0,noche
37,1,3,0,mañana
38,1,0,0,noche
39,1,0,0,noche
40,1,0,0,noche
41,1,4,0,mañana
42,1,0,0,noche
43,1,0,0,noche
44,1,0,0,noche
45,1,0,0,noche
46,1,0,0,mañana
47,1,0,0,noche
48,1,7,0,noche
49,1,0,0,noche
50,1,65,1,noche
51,1,10,0,noche
52,1,14,0,noche
53,1,5,0,noche
54,1,16,1,noche
55,1,30,1,noche
56,1,35,1,noche
57,1,2,0,noche
58,1,3,0,noche
59,1,140,1,mañana
60,1,29,1,noche
61,1,96,1,mañana
62,1,17,1,noche
63,1,10,0,noche
64,1,9,0,noche
65,1,7,0,noche
66,1,4,0,noche
67,1,44,1,noche
68,1,13,0,noche
69,1,25,1,noche
70,1,3,0,noche
71,1,0,0,noche
72,1,14,0,noche
73,1,4,0,noche
74,1,1,0,noche
75,1,54,1,noche
76,1,3,0,noche
77,1,17,1,mañana
78,1,29,1,noche
79,1,81,1,noche
80,1,18,1,mañana
81,1,16,1,mañana
82,1,30,1,noche
83,1,81,1,noche
84,1,13,0,noche
85,1,0,0,noche
86,1,19,1,mañana
87,1,10,0,noche
88,1,22,1,mañana
89,1,25,1,noche
90,1,6,0,noche
91,1,16,1,mañana
92,1,11,0,noche
93,1,14,0,noche
94,1,3,0,noche
95,1,1,0,noche
96,1,39,1,noche
97,1,8,0,noche
98,1,4,0,noche
99,1,9,0,noche
100,1,0,0,noche
101,1,6,0,noche
102,1,0,0,mañana
103,1,5,0,mañana
104,1,10,0,mañana
105,1,12,0,mañana
106,1,24,1,tarde
107,1,4,0,noche
108,1,0,0,noche
109,1,0,0,noche
110,1,0,0,noche
111,1,0,0,noche
112,1,0,0,noche
113,1,0,0,noche
114,1,0,0,noche
115,1,79,1,noche
116,1,0,0,noche
117,1,0,0,noche
118,1,0,0,noche
119,1,0,0,noche
120,1,0,0,noche
121,1,0,0,noche
122,1,0,0,noche
123,1,1,0,mañana
124,1,0,0,noche
125,1,5,0,mañana
126,1,1,0,mañana
127,1,129,1,noche
128,1,8,0,mañana
129,1,2,0,mañana
130,1,0,0,noche
131,1,0,0,noche
132,1,0,0,noche
133,1,0,0,noche
134,1,0,0,noche
135,1,0,0,noche
136,1,0,0,noche
137,1,0,0,noche
138,1,0,0,noche
139,1,0,0,noche
140,1,0,0,noche
141,1,160,1,noche
142,1,0,0,noche
143,1,0,0,noche
144,1,34,1,noche
145,1,36,1,noche
146,1,3,0,noche
147,1,7,0,noche
148,1,40,1,noche
149,1,12,0,noche
150,1,13,0,noche
151,1,4,0,noche
152,1,20,1,noche
153,1,0,0,noche
154,1,2,0,noche
155,1,12,0,noche
156,1,13,0,noche
157,1,0,0,noche
158,1,12,0,noche
159,1,1,0,noche
160,1,22,1,mañana
161,1,9,0,noche
162,1,9,0,noche
163,1,18,1,mañana
164,1,2,0,noche
165,1,2,0,noche
166,1,13,0,noche
167,1,8,0,noche
168,1,2,0,noche
169,1,2,0,noche
170,1,0,0,noche
171,1,36,1,noche
172,1,21,1,mañana
173,1,0,0,noche
174,1,2,0,noche
175,1,17,1,mañana
176,1,4,0,noche
177,1,0,0,noche
178,1,1,0,noche
179,1,0,0,noche
180,1,5,0,noche
181,1,28,1,mañana
182,1,1,0,mañana
183,1,5,0,mañana
184,1,5,0,mañana
185,1,0,0,noche
186,0,0,0,noche
187,0,0,0,noche
188,0,0,0,noche
189,0,0,0,noche
190,0,10,0,noche
191,0,0,0,noche
192,0,0,0,noche
193,0,1,0,mañana
194,0,0,0,noche
195,1,0,0,noche
196,1,0,0,noche
197,1,0,0,noche
198,0,0,0,noche
199,0,0,0,noche
200,0,0,0,noche
201,0,0,0,noche
202,0,0,0,noche
203,0,0,0,noche
204,0,3,0,mañana
205,0,0,0,noche
206,0,0,0,noche
207,0,63,1,mañana
208,0,4,0,mañana
209,0,0,0,mañana
210,0,1,0,mañana
211,0,6,0,mañana
212,0,6,0,mañana
213,0,6,0,mañana
214,0,11,0,noche
215,0,0,0,noche
216,0,0,0,mañana
217,0,0,0,noche
218,0,2,0,mañana
219,0,0,0,mañana
220,0,0,0,noche
221,0,0,0,noche
222,0,6,0,mañana
223,0,13,0,noche
224,0,0,0,noche
225,0,4,0,mañana
226,1,4,0,noche
227,1,21,1,noche
228,1,100,1,mañana
229,0,7,0,noche
230,0,18,1,noche
231,0,1,0,noche
232,0,11,0,noche
233,0,2,0,noche
234,0,0,0,noche
235,0,0,0,noche
236,0,25,1,noche
237,0,48,1,noche
238,0,5,0,noche
239,0,8,0,noche
240,0,7,0,noche
241,0,7,0,noche
242,0,9,0,noche
243,0,0,0,noche
244,0,3,0,noche
245,0,0,0,noche
246,0,1,0,noche
247,0,8,0,noche
248,0,0,0,noche
249,0,140,1,mañana
250,0,12,0,noche
251,0,14,0,noche
252,0,0,0,noche
253,0,12,0,noche
254,1,30,1,noche
255,1,30,1,noche
256,1,14,0,noche
257,0,12,0,noche
258,0,48,1,noche
259,0,30,1,noche
260,0,0,0,noche
261,0,6,0,noche
262,0,37,1,noche
263,0,0,0,noche
264,0,10,0,noche
265,0,5,0,noche
266,0,45,1,noche
267,0,4,0,noche
268,0,9,0,noche
269,0,5,0,noche
270,0,0,0,noche
271,0,21,1,mañana
272,0,2,0,noche
273,0,74,1,noche
274,0,1,0,noche
275,0,7,0,noche
276,0,25,1,noche
277,0,135,1,mañana
278,0,0,0,mañana
279,0,0,0,noche
280,0,0,0,mañana
281,0,0,0,noche
282,0,0,0,mañana
283,0,0,0,noche
284,0,0,0,noche
285,0,8,0,mañana
286,0,3,0,mañana
287,0,13,0,noche
288,0,4,0,mañana
289,0,0,0,noche
290,0,0,0,noche
291,0,0,0,mañana
292,0,2,0,mañana
293,0,0,0,noche
294,0,6,0,mañana
295,0,2,0,mañana
296,0,23,1,noche
297,0,19,1,noche
298,0,2,0,mañana
299,0,0,0,noche
300,0,6,0,mañana
301,0,4,0,mañana
302,0,4,0,mañana
303,0,0,0,noche
304,0,1,0,mañana
305,0,0,0,noche
306,0,5,0,noche
307,0,2,0,noche
308,0,0,0,noche
309,0,32,1,noche
310,0,13,0,noche
311,0,0,0,noche
312,0,2,0,noche
313,0,0,0,noche
314,0,4,0,noche
315,0,74,1,noche
316,0,122,1,mañana
317,0,16,1,noche
318,0,1,0,noche
319,0,1,0,noche
320,0,0,0,noche
321,0,0,0,noche
322,0,0,0,noche
323,0,0,0,noche
324,0,2,0,noche
325,0,43,1,noche
326,0,35,1,noche
327,0,10,0,noche
328,0,81,1,mañana
329,0,4,0,noche
330,0,0,0,noche
331,0,4,0,noche
332,0,0,0,noche
333,0,18,1,noche
334,0,0,0,noche
335,0,11,0,noche
336,0,0,0,noche
337,0,2,0,noche
338,0,14,0,noche
339,0,0,0,noche
340,0,15,0,noche
341,0,46,1,noche
342,0,0,0,noche
343,0,11,0,noche
344,0,10,0,noche
345,0,0,0,noche
346,0,0,0,noche
347,0,0,0,noche
348,0,19,1,noche
349,0,45,1,noche
350,0,2,0,noche
351,0,110,1,noche
352,0,3,0,noche
353,0,9,0,noche
354,0,6,0,noche
355,0,11,0,noche
356,0,0,0,noche
357,0,2,0,noche
358,0,0,0,noche
359,0,0,0,mañana
360,0,2,0,mañana
361,0,62,1,mañana
362,0,0,0,noche
363,0,0,0,mañana
364,0,14,0,noche
365,0,0,0,noche
366,0,0,0,noche
367,0,0,0,noche
368,0,1,0,mañana
369,0,0,0,mañana
370,0,0,0,mañana
371,0,0,0,noche
372,0,0,0,noche
373,0,1,0,mañana
374,0,0,0,noche
375,0,0,0,mañana
376,0,2,0,mañana
377,0,1,0,mañana
378,0,1,0,mañana
379,0,2,0,mañana
380,0,0,0,mañana
381,0,0,0,noche
382,0,0,0,noche
383,0,0,0,mañana
384,0,0,0,mañana
385,0,0,0,noche
386,0,0,0,mañana
387,0,0,0,noche
388,0,0,0,noche
389,0,11,0,noche
390,0,0,0,noche
391,0,2,0,noche
392,0,118,1,mañana
393,0,7,0,noche
394,0,29,1,noche
395,0,22,1,noche
396,0,1,0,noche
397,0,0,0,noche
398,0,8,0,noche
399,0,24,1,noche
400,0,16,1,noche
401,0,0,0,noche
402,0,0,0,noche
403,0,2,0,noche
404,0,11,0,noche
405,0,0,0,noche
406,0,41,1,noche
407,0,16,1,noche
408,0,12,0,noche
409,0,14,0,noche
410,0,5,0,noche
411,0,0,0,noche
412,0,14,0,noche
413,0,4,0,noche
414,0,1,0,noche
415,0,1,0,noche
416,0,1,0,noche
417,0,6,0,noche
418,0,2,0,noche
419,0,7,0,noche
420,0,5,0,noche
421,0,6,0,noche
422,0,9,0,noche
423,0,60,1,noche
424,0,151,1,mañana
425,0,110,1,noche
426,0,20,1,noche
427,0,0,0,noche
428,0,9,0,noche
429,0,26,1,noche
430,0,9,0,noche
431,0,18,1,noche
432,0,41,1,mañana
433,0,28,1,noche
434,0,0,0,noche
435,0,9,0,noche
436,0,2,0,noche
437,0,0,0,noche
438,0,11,0,noche
439,0,24,1,mañana
440,0,5,0,mañana
441,0,0,0,mañana
442,0,15,0,noche
443,0,0,0,noche
444,0,0,0,noche
445,0,7,0,mañana
446,0,0,0,noche
447,0,0,0,noche
448,0,0,0,noche
449,0,0,0,mañana
450,0,0,0,noche
451,0,0,0,noche
452,0,0,0,noche
453,0,0,0,noche
454,0,3,0,mañana
455,0,0,0,noche
456,0,2,0,mañana
457,0,0,0,noche
458,0,0,0,noche
459,0,0,0,noche
460,0,0,0,noche
461,0,0,0,noche
462,0,0,0,noche
463,0,0,0,noche
464,0,0,0,noche
465,0,0,0,mañana
466,0,4,0,mañana
467,0,10,0,noche
468,0,7,0,noche
469,0,12,0,noche
470,0,0,0,noche
471,0,0,0,noche
472,0,0,0,noche
473,0,0,0,noche
474,0,11,0,noche
475,0,12,0,noche
476,0,0,0,noche
477,0,1,0,noche
478,0,0,0,noche
479,0,0,0,noche
480,0,10,0,noche
481,0,98,1,noche
482,0,15,0,noche
483,0,109,1,noche
484,0,61,1,noche
485,0,12,0,noche
486,0,6,0,noche
487,0,0,0,noche
488,0,9,0,noche
489,0,18,1,noche
490,0,0,0,noche
491,0,0,0,noche
492,0,6,0,noche
493,0,4,0,noche
494,0,0,0,noche
495,0,0,0,noche
496,0,25,1,mañana
497,0,15,0,noche
498,0,6,0,noche
499,0,12,0,noche
500,0,27,1,noche
501,0,33,1,noche
502,0,21,1,noche
503,0,15,0,noche
504,0,1,0,noche
505,0,4,0,noche
506,0,0,0,noche
507,0,10,0,noche
508,0,1,0,noche
509,0,17,1,noche
510,0,1,0,noche
511,0,18,1,noche
512,0,5,0,noche
513,0,41,1,mañana
514,0,6,0,noche
515,0,3,0,noche
516,0,15,0,noche
517,0,6,0,noche
518,0,1,0,noche
519,0,52,1,mañana
520,0,4,0,mañana
521,0,0,0,noche
522,0,0,0,noche
523,0,0,0,noche
524,0,0,0,mañana
525,0,3,0,mañana
526,0,4,0,mañana
527,0,0,0,noche
528,0,0,0,noche
529,0,1,0,mañana
530,0,0,0,noche
531,0,0,0,noche
532,0,0,0,noche
533,1,0,0,mañana
534,1,119,1,noche
535,1,0,0,mañana
536,1,3,0,mañana
537,1,0,0,noche
538,1,0,0,noche
539,1,17,1,noche
540,1,0,0,noche
541,1,0,0,noche
542,1,0,0,noche
543,1,8,0,mañana
544,1,0,0,noche
545,1,0,0,noche
546,1,0,0,noche
547,1,0,0,noche
548,1,0,0,noche
549,1,0,0,noche
550,0,54,1,noche
551,0,10,0,noche
552,0,13,0,noche
553,0,3,0,noche
554,0,47,1,noche
555,0,17,1,noche
556,0,106,1,noche
557,0,14,0,noche
558,0,8,0,noche
559,0,2,0,noche
560,0,9,0,noche
561,1,32,1,mañana
562,1,11,0,noche
563,1,25,1,mañana
564,1,6,0,noche
565,1,139,1,mañana
566,1,4,0,noche
567,1,7,0,noche
568,1,3,0,noche
569,1,28,1,mañana
570,1,3,0,noche
571,1,14,0,noche
572,1,24,1,noche
573,1,1,0,noche
574,1,0,0,noche
575,1,0,0,noche
576,1,16,1,noche
577,1,0,0,noche
578,0,42,1,mañana
579,0,11,0,noche
580,0,21,1,noche
581,0,65,1,noche
